證券代號,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比
0050,2878357,3097,343128324,119.1,119.6,118.6,118.95,0.15,118.95,34,119.0,36,0.0
0051,78985,30,3395533,43.06,43.07,42.81,42.83,0.06,42.83,37,43.0,2,0.0
0052,1216995,524,129652996,107.0,107.3,106.05,106.5,0.35,106.5,9,106.65,1,0.0
0053,17287,14,970672,56.35,56.5,55.85,55.85,0.2,55.85,76,56.2,1,0.0
0054,16000,6,441810,27.75,27.75,27.57,27.57,0.02,27.57,58,27.75,2,0.0
0055,25370,24,448727,17.65,17.71,17.65,17.69,0.01,17.69,5,17.7,27,0.0
0056,13691719,4629,404046382,29.51,29.58,29.48,29.51,0.03,29.51,51,29.52,71,0.0
0057,21000,3,1649850,78.85,78.85,78.55,78.55,0.3,78.2,10,78.6,10,0.0
0061,254155,76,5829487,22.99,23.01,22.83,22.98,0.11,22.98,21,23.0,20,0.0
006203,4000,3,221400,55.4,55.4,55.3,55.3,0.2,55.25,35,55.4,1,0.0
006204,108,2,7482,,,,,0.0,71.4,10,71.65,10,0.0
006205,1472186,140,54819093,37.03,37.37,36.91,37.37,0.33,37.32,101,37.37,42,0.0
006206,519594,77,19693753,37.96,38.07,37.7,38.03,0.15,38.03,90,38.07,1,0.0
006207,136000,31,4081430,30.0,30.1,29.85,30.1,0.25,30.1,4,30.14,35,0.0
006208,1146424,543,76671630,66.85,67.15,66.7,66.8,0.15,66.75,35,66.8,2,0.0
00625K,54000,4,469220,8.68,8.69,8.68,8.69,0.04,8.56,5,8.78,2,0.0
00631L,2726030,974,233532976,85.55,86.25,84.8,85.3,0.55,85.3,266,85.35,22,0.0
00632R,82577841,8132,592457879,7.17,7.22,7.15,7.18,0.03,7.18,12349,7.19,1401,0.0
00633L,6031000,1276,397690900,65.75,66.5,65.3,66.45,0.6,66.4,2,66.45,99,0.0
00634R,696000,44,2887340,4.15,4.17,4.13,4.13,0.01,4.12,317,4.13,2,0.0
00635U,427414,133,10885976,25.49,25.51,25.46,25.47,0.02,25.46,102,25.47,2,0.0
00636,362193,133,9588317,26.47,26.54,26.32,26.52,0.14,26.51,53,26.52,28,0.0
00636K,100,1,940,9.4,9.4,9.4,9.4,0.02,9.35,15,9.46,15,0.0
00637L,41725661,5249,1077030416,25.82,26.02,25.57,26.0,0.23,25.99,40,26.0,1535,0.0
00638R,1747000,109,14469250,8.26,8.31,8.24,8.25,0.04,8.24,118,8.25,21,0.0
00639,1406555,262,22523440,16.0,16.08,15.9,16.08,0.09,16.07,22,16.08,1,0.0
00640L,529000,16,12610950,23.8,23.84,23.8,23.84,0.1,23.82,106,23.85,1,0.0
00641R,220000,15,2641210,11.99,12.01,11.99,11.99,0.04,11.99,102,12.0,100,0.0
00642U,7877190,1454,65184173,8.34,8.34,8.26,8.26,0.07,8.25,722,8.26,50,0.0
00643,644704,169,11661248,17.99,18.15,17.95,18.11,0.06,18.11,60,18.12,4,0.0
00643K,0,0,0,,,,,0.0,4.14,2,4.26,1,0.0
00645,308704,11,7164971,23.22,23.22,23.2,23.2,0.04,23.2,53,23.25,51,0.0
00646,239865,117,7631977,31.86,31.86,31.8,31.8,0.02,31.79,1,31.83,9,0.0
00647L,3000,3,146440,49.0,49.0,48.69,48.69,0.03,48.8,50,48.93,1,0.0
00648R,345000,45,2925800,8.52,8.52,8.47,8.48,0.04,8.48,14,8.5,2,0.0
00650L,85000,31,2196500,25.91,25.91,25.75,25.85,0.06,25.85,1,25.89,18,0.0
00651R,147000,17,1134460,7.72,7.74,7.71,7.72,0.0,7.72,34,7.73,2,0.0
00652,63901,57,1501803,23.52,23.57,23.45,23.47,0.11,23.47,7,23.48,12,0.0
00653L,715300,216,22706260,31.88,31.88,31.68,31.7,0.2,31.68,1,31.71,15,0.0
00654R,37000,25,392870,10.61,10.64,10.6,10.63,0.01,10.6,1,10.65,2,0.0
00655L,2110000,739,104168920,49.4,49.86,48.95,49.79,0.33,49.76,321,49.79,1,0.0
00656R,193000,28,1471750,7.63,7.66,7.57,7.58,0.05,7.58,3,7.6,440,0.0
00657,100000,2,3280000,32.8,32.8,32.8,32.8,0.03,32.81,10,32.85,30,0.0
00657K,100,1,1166,11.66,11.66,11.66,11.66,0.01,11.6,19,11.72,18,0.0
00660,173921,36,4373027,25.07,25.2,25.07,25.2,0.2,25.14,5,25.24,20,0.0
00661,7001,4,231213,33.02,33.04,33.02,33.04,0.02,33.03,25,33.15,16,0.0
00662,52511,66,2403588,45.7,45.8,45.7,45.77,0.0,45.77,1,45.8,4,0.0
00663L,24049,18,1845648,76.7,77.2,76.3,76.4,0.5,76.5,4,76.6,641,0.0
00664R,3410000,399,27765470,8.14,8.19,8.12,8.15,0.03,8.15,1820,8.16,8,0.0
00665L,500000,49,11625300,23.18,23.4,23.05,23.3,0.01,23.28,100,23.3,18,0.0
00666R,0,0,0,,,,,0.0,11.8,3,12.0,9,0.0
00668,22029,15,673688,30.65,30.65,30.3,30.65,0.08,30.61,10,30.65,2,0.0
00668K,100,1,1087,10.87,10.87,10.87,10.87,0.0,,0,,0,0.0
00669R,1157000,254,10822290,9.36,9.38,9.34,9.34,0.05,9.34,144,9.35,100,0.0
00670L,101062,73,8076203,80.0,80.05,79.8,80.0,0.4,79.95,3,80.0,3,0.0
00671R,1055000,138,6918500,6.56,6.57,6.55,6.55,0.02,6.55,103,6.56,8,0.0
00673R,62300,30,1536114,24.6,24.7,24.6,24.67,0.04,24.66,32,24.67,6,0.0
00674R,51000,15,654040,12.79,12.83,12.79,12.83,0.03,12.84,11,12.9,2,0.0
00675L,240539,182,7927946,32.9,33.17,32.62,32.85,0.27,32.85,18,32.87,349,0.0
00676R,4604000,354,20397440,4.43,4.46,4.42,4.44,0.02,4.44,16,4.45,3645,0.0
00677U,106016176,5845,418127407,3.93,3.98,3.92,3.95,0.03,3.95,2214,3.96,671,0.0
00678,60239,55,1698603,28.35,28.43,28.15,28.16,0.27,28.15,5,28.18,5,0.0
00680L,38000,19,1095350,28.85,28.85,28.82,28.82,0.19,28.82,36,28.85,1,0.0
00681R,0,0,0,,,,,0.0,12.68,100,12.75,100,0.0
00682U,18000,11,322160,17.86,17.9,17.86,17.9,0.07,17.9,4,18.0,2,0.0
00683L,123000,43,2021220,16.57,16.57,16.34,16.44,0.06,16.44,1,16.53,7,0.0
00684R,0,0,0,,,,,0.0,19.16,20,19.33,2,0.0
00685L,33000,18,952490,28.79,29.06,28.61,28.67,0.17,28.67,10,28.78,50,0.0
00686R,125000,23,603280,4.84,4.85,4.82,4.85,0.02,4.84,200,4.85,205,0.0
00688L,105000,7,3050110,29.07,29.07,29.01,29.01,0.21,29.01,9,29.1,11,0.0
00689R,100000,2,1309000,13.09,13.09,13.09,13.09,0.07,13.07,30,13.11,40,0.0
00690,43152,24,1195823,27.72,27.77,27.6,27.64,0.09,27.61,1,27.67,30,0.0
00692,1688580,764,49889246,29.54,29.7,29.45,29.55,0.07,29.53,5,29.55,10,0.0
00693U,1415371,502,27409210,19.4,19.4,19.32,19.38,0.04,19.37,204,19.38,43,0.0
00700,10000,6,186480,18.7,18.7,18.56,18.6,0.15,18.6,1,18.66,1,0.0
00701,1109158,450,23918364,21.56,21.6,21.53,21.57,0.07,21.56,1,21.57,3,0.0
00702,0,0,0,,,,,0.0,17.21,5,17.29,5,0.0
00703,7039,7,173048,24.59,24.59,24.57,24.59,0.02,24.37,1,24.59,37,0.0
00706L,0,0,0,,,,,0.0,18.1,3,18.14,26,0.0
00707R,1000,1,18550,18.55,18.55,18.55,18.55,0.0,18.55,24,18.72,23,0.0
00708L,392020,155,11701316,29.84,29.86,29.84,29.84,0.0,29.84,365,29.85,11,0.0
00709,113000,11,2389040,21.06,21.15,21.06,21.15,0.07,21.12,1,21.22,1,0.0
00710B,1052100,57,19376049,18.4,18.45,18.4,18.42,0.02,18.42,1,18.43,104,0.0
00711B,112000,4,2455600,21.88,21.93,21.88,21.93,0.07,21.91,5,21.96,30,0.0
00712,654905,337,8290823,12.69,12.69,12.64,12.65,0.06,12.65,22,12.66,31,0.0
00713,148438,83,5097776,34.28,34.4,34.26,34.34,0.16,34.34,7,34.35,12,0.0
00714,7000,3,130080,18.62,18.62,18.47,18.47,0.18,18.37,10,18.47,5,0.0
00715L,47120249,2227,215512292,4.55,4.6,4.55,4.6,0.03,4.59,2,4.6,140,0.0
00717,700108,99,11774559,16.82,16.83,16.81,16.82,0.02,16.81,100,16.82,1,0.0
00728,230434,22,5802785,25.2,25.21,25.15,25.18,0.11,25.07,12,25.2,22,0.0
00730,484635,186,8705525,17.89,18.03,17.89,17.98,0.09,17.98,6,17.99,6,0.0
00731,1021827,37,49089960,48.0,48.2,47.97,48.05,0.05,48.0,12,48.05,3,0.0
00732,100000,2,3909000,39.09,39.09,39.09,39.09,0.01,38.99,13,39.16,13,0.0
00733,233234,29,6177610,26.43,26.58,26.43,26.51,0.13,26.5,10,26.51,2,0.0
00735,52131,27,1562262,30.0,30.0,29.82,29.82,0.11,29.83,15,29.93,10,0.0
00736,100233,3,2204911,22.0,22.0,22.0,22.0,0.0,21.87,20,22.15,3,0.0
00737,59973,52,1842036,30.7,30.9,30.67,30.7,0.0,30.7,1,30.72,20,0.0
00738U,1631238,358,44157189,27.13,27.2,27.03,27.1,0.03,27.1,19,27.12,14,0.0
00739,177652,71,4786513,26.96,27.12,26.85,27.12,0.1,27.11,50,27.12,7,0.0
00742,149026,37,3223631,21.66,21.66,21.59,21.63,0.08,21.63,3,21.67,6,0.0
00743,62010,9,1720857,27.53,27.78,27.5,27.77,0.13,27.8,20,27.95,20,0.0
00752,2648565,1921,77156728,29.23,29.25,29.05,29.21,0.28,29.21,110,29.23,10,0.0
00753L,361000,228,13129840,36.62,36.7,36.22,36.32,0.7,36.32,1,36.37,3,0.0
00757,565145,293,24379019,43.2,43.2,43.1,43.11,0.36,43.1,13,43.11,5,0.0
